"Company Name","Tel","Buyer Name","Buyer Mail","Sales Name ","Sales e-mail","Industry","","",""
"","","","","","","","","",""
"AB Mauri","011-3147028","","","Thomas","thomas@abmauri.co.za","Food","","",""
"Acti Chem","082 850 2006","","","Shasheka","saleskzn@acti-chem.com","Water Treatment","","",""
"Ace Chemicals","011 496 3300","","","Tracy ","tracy@acechem.co.za","Lab Chemicals","","",""
"African Amines","034 371285","","","Robin Singh","","","","",""
"Afrisil","0824661615","","","Micheal Butt","michael.butt@afrisil.com","Silicones","","",""
"Agro Fert","(033) 3302586","","","Sheryl","agviise@telkomsa.net","Agro","","",""
"Agri Eure","082  761  0991","","","Herman","hermann@agrieureafrica.co.za","Agro","","",""
"AH Grocers","031  3054779/ 031 3055132","","","Abdul","ahg@eastcoast.co.za","Food","","",""
"Akulu","0314522200/ 011 548 4537","","","Robyn","robyn_clark@akulu.co.za","Detergent","","",""
"Amchem","012 682 7082","","","Brownyn","","Personal Care","","",""
"AMT Composites","021 511 2669","","","Kate","kate.hall@amtcomposites.co.za","Resin","","",""
"AO Chemicals","0113931045","","","Paul","pauloni@mweb.co.za","Detergent","","",""
